iter	RMSE
1624	10557.10619
1625	10554.89823
1626	10551.58083
1627	10549.68075
1628	10547.63868
1629	10543.72808
1630	10540.26717
1631	10536.90085
1632	10529.55026
1633	10526.72369
1634	10516.89285
1635	10516.41793
1636	10511.03743
1637	10504.88935
1638	10502.17026
1639	10498.817
1640	10498.01671
1641	10493.13304
1642	10492.10885
1643	10491.18048
1644	10485.95281
1645	10482.18692
1646	10479.58205
1647	10476.22855
1648	10470.60278
1649	10465.89932
1650	10465.00005
1651	10464.2191
1652	10463.52422
1653	10463.36729
1654	10462.88643
1655	10459.14596
1656	10455.4773
1657	10454.4931
1658	10453.67344
1659	10447.3696
1660	10447.21567
1661	10439.87798
1662	10439.02254
